dialect,standard
父ちゃんのおでぼちんが最近広くなったごたる,父ちゃんのおでこが最近広くなったようだ
てめえがいい子は、一輪車に乗るのも早い,手並みが良い子は、一輪車に乗るのも早い
彼はいったん仕事を引きうけると、てめえはみせん,彼はいったん仕事を引き受けると、手の内は見せない
与党案に、野党がてめしで協力するはずがねえ,与党案に、野党が手弁当で協力するはずがない
隣のおいさんは市役所にでよる,隣のおじさんは市役所に勤務している
午後から断水で、水が出らんなるらしい,午後から断水で、水が出なくなるらしい
てれっとせんじ、はよ着替えち学校行かな,ぐずぐずしないで、早く着替えて学校行かないと
あんしは、やることがいっつも、てれんぱらんじゃ,あの人は、やることがいつも、ちゃらんぽらんだ
でん、僕だけがおやつもろうちょらんので,でも、僕だけがおやつ貰っていないのだ
ハワイの海岸では、老若男女がてんかんぼししよった,ハワイの海岸では、老若男女が日光浴していた
空が晴れ渡っち、遠くのてんこつじまで見ゆる,空が晴れ渡って、遠くの山頂まで見える
暖かいので、てんじょうはりかえに行こう,暖かいので、散髪に行こう
ダイエットは、てんしょむしょ歩けばいいちゅうもんやないらしい,ダイエットはめちゃくちゃ歩けばいいといものではないらしい
北方領土は四島でんぶ返して当たり前で,北方領土は四島全部返して当たり前だ
娘の背が、もうすぐ母ちゃんにとう,娘の背が、もうすぐ母ちゃんに届く
手がとわん,手が届かない
おいどうは、おまえどうと気が合う,俺たちは、おまえたちと気が合う
とうがきは、色がついてから甘くなる,いちじくは、色がついてから甘くなる
最近のとうきびには、生で食べられるのがある,最近のとうもろこしには、生で食べられるものがある
どうきんがけした後は気持ちがいい,ぞうきんがけした後は気持ちがいい
もう入学金納めたに、大学行かんちゃ、どうくっちょらせんな,もう入学金納めたのに、大学行かないとは、ふざけてないだろうな
わしゃ、とうこつ言うけど、やるときはやるで,わしは、無責任に言うけど、やるときはやるよ
母ちゃんは、とうし小言をいいよる,母ちゃんは、しょっちゅう小言を言っている
あんだけ世話になっちょるしに、どうしちそげなこつが言えるんな,あれだけ世話になっている人に、どうしてそんなことが言えるんだ
どうじんぼしのはらわたが好きじゃ,イワシの丸干しのはらわたが好きだ
梅雨が明けたらセミが鳴きだして、とうてん夏らしゅうなった,梅雨が明けたらセミが鳴きだして、とっても夏らしくなった
どうでん、あんしのことをすいちょるごたるで,どうも、あの人のことを好いているようだよ
金は、どうでんこうでん明日までに返せとかいいよらせんので,金は、どうでもこうでも明日までに返せとかいってはいないから
駅前の大友宗麟のどうどうの下でまっちょるで,駅前の大友宗麟の銅像の下で待っているよ
長旅には、どうしてんどうようが掛かる,長旅には、どうしても雑費がかかる
小学生になったら、とぎが100人でけるかな,小学生になったら、友達が100人できるかな
朝早くから、どきいくんかえ？,朝早くから、どこいくのかい？
試験には、とぎった鉛筆をたくさん持って行こう,試験には、とんがった鉛筆をたくさん持って行こう
津波が来たら、どげえ逃げるか家族で相談する,津波が来たら、どのように逃げるか家族で相談する
おいさんの風邪の具合はどげかえ？,おじさんの風邪の具合はどうかい？
席順はどげでんいい、早くバスに乗っちょくれ,席順はどうでもいい、早くバスに乗ってくれ
近ごろ、景気はどげな,近ごろ、景気はどうだ
早く就職が決まらんと、どげんこげんならん,早く就職が決まらないと、どうもこうもならない
今日はまたいい服きちから、どこいきな,今日はまたいい服着てから、どこいくの
入試で、どしこ点が取れるかは努力次第で,入試で、どれだけ点が取れるかは努力次第だ
政治は、どしのいきじゃと言うしもおる,政治は、多人数の勢いだと言う人もいる
田んぼにとしゃくが出来ちょるんを見ると、秋の深まりを感じる,田んぼにわらこずみが出来ているのを見ると、秋の深まりを感じる
としよりそこのうちょる,年寄りになり損なっている
こん漫画はどじれん,この漫画はつまらない
銭湯や駅のロッカーは、今でもとせんじゃ,銭湯や駅のロッカーは今でも落とし込み式の鍵だ
どだいこだい見ちゃおれん,どうにもこうにも見ていられない
とちけむねえ大津波がきちしもうたもんじゃ,途方もない大津波が来てしまったもんだ
とっと好かん,とっても好かん
とっとダメ,全くダメ
とっと先ん方,ずっと先の方
裏の小川は大雨が降ると、水がどっとん流れる,裏の小川は大雨が降ると、水がどんどん流れる
畑にUFOが落ちたとかとっぱごろ言うなえ,畑にUFOが落ちたとか、大嘘言うなよ
鶴見岳のとっぺんまで霧氷を見にいっち来た,鶴見岳のてっぺんまで霧氷を見に行ってきた
もう少しでとっぽけんや、頑張ろう,もう少しでてっぺんだ、頑張ろう
大けな犬に吠えられち、ととつねんぼうした,大きな犬に吠えられて、驚いた
自転車ごと川にどばんしこんだが、無傷じゃった,自転車ごと川にダイブしたが、無傷だった
雨上がりに、車にとばしりをかけられた,雨上がりに、車にとばっちりをかけられた
小学校一年の運動会からずうっと、とびくらごは一等賞じゃった,小学校一年の運動会からずっと、徒競走は一等賞だった
うちの子は、計算は遅いが、とぶのは速い,うちのこは、計算は遅いが、走るのは速い
どんこを釣ろうち思うち、近くの川にどぶる,どんこを釣ろうと思って、近くの川に入って歩く
わしは、運動会の徒競走では、いっつもどべじゃった,わしは、運動会の徒競走では、いつもビリだった
テレビどま見よ,テレビでも見よ
隣あての郵便が、どまぐれち、うちに届いた,隣あての郵便が、間違って、うちに届いた
けんかと水道の水は、なるべく早くとみい,けんかと水道の水は、なるべく早く止めろ
僕の成績は、どんどん下どりいく,僕の成績は、どんどん下の方へ行く
息子の見合いは、どれんこれんうまくいかん,息子の見合いは、どれもこれもうまくいかない
あんた、ようそげなとわず考えつくなあ,あんた、よくそんなデタラメ考えつくなあ
こげえ残暑が続くと、どんこんならん,こんなに残暑が続くと、どうにもこうにもならない
正月に着る、とんとんべべを用意しちょるで,正月に着る、晴れ着を用意しているよ
どんのくびを冷やすと気持ちいい,うなじを冷やすと気持ちいい
次の五輪でメダルの数がとんぼうつと嬉しい,次の五輪でメダルの数が2倍になると嬉しい
口コミで、とんぼらとんぼら客が集まり始めた,口コミで、ぽつんぽつんと客が集まり始めた
明日から修学旅行じゃけん、もう寝ない,明日から修学旅行だから、もう寝なさい
景気がようなるのに越したことがねえが、なえ,景気が良くなるのに越したことがないけど、なあ
なえが起きたら、安全確保が第一じゃ,地震が起きたら、安全確保が第一だ
使ったら、元のところになおしよえ,使ったら、元のところにしまいなさい
海岸で、釣った魚をなぐれねこにとられた,海岸で、釣った魚を野良猫にとられた
休日にはビールを飲んで、なごうなる,休日にはビールを飲んで、横になる
長い間、大相撲に日本人横綱が現れんのは、なしか,長い間、大相撲に日本人横綱が現れないのは、なぜだ
歳をとったら、大なり小なりなじるるもんじゃ,歳をとったら、大なり小なり体が衰えるもんだ
猫は、あごの下をなずるを喜ぶ,猫は、あごの下をなでると喜ぶ
地球温暖化のせいか、近ごろのなたちい,地球温暖化のせいか、近ごろの夏は暑い
なにえ、試験に合格したちえ,なんだって、試験に合格したって
増税する前に、身を切る努力はなぬうしたかえ？,増税する前に、身を切る努力は何をしたかい？
昼から降るなの言いよったが、晴れちよかったわ,昼から降るとか言ってたけど、晴れてよかったわ
なばになっちょる,元気がない状態になっている
隣のおいさんは、孫をなむるごとかわいがる,隣のおいさんは、孫をなめるようにかわいがる
うちのじいちゃんはサイズをみらんなりシャツを買う,うちのじいちゃんはサイズを見ないままシャツを買う
記念写真を撮るけん、なろうじょくれ,記念写真を撮るから、並んでくれ
なんいよんの、あんたがこっちがいいち言うたやねえな,何言ってるの、あんたがこっちがいいって言ったじゃないか
塀になんかかっち、夕日を見ちょった,塀に寄りかかって、夕日を見ていた
そげな難題をなんかくるけん、悩みが増えたで,そんな難題を投げかけるから、悩みが増えたよ
なんかなし、高校を受験しよち母ちゃんが言う,とにかく、高校を受験しよと母ちゃんが言う
なんじゃかんじゃ言い訳んじょうで、なんぎなやっちゃ,なんだかんだ言い訳ばかりで、情けない奴だ
柔道で、小せえもんが大きいもんをなんくりかやすところを見てえ,柔道で、小さい人が大きい人をひっくり返すところを見たい
なんげなし見ていたテレビに、母ちゃんが映っちょった,何気なく見ていたテレビに、母ちゃんが映っていた
名水をくむ池にコインをなんこんだらいけん,名水をくむ池にコインを投げ込んだらいけない
温泉に来て湯に入らんちゃ、あんたなんしい来たんな,温泉に来て湯に入らないとは、あんた何しに来たんだ
あんしとあんしは、いとこ同士なんち,あの人とあの人は、いとこ同士なんだって
なんちえ、あん女優があんたんいとこちえ,なんて、あの女優があんたのいとこって
カーナビで探していったけど、なんちゃねえ店やった,カーナビで探していったけど、なんでもない店だった
なんちゅうてん、秋はスポーツじゃと思う,なんといっても、秋はスポーツだと思う
やる気があれば、なんでんでくる,やる気があれば、なんでもできる
井戸からなんとんしれんのが出ちきち、皿をかぞゆるんと,井戸からなんとも分からないものが出てきて、皿を数えるんだって
あんときのあんしの態度、ありゃなんな,あのときのあの人の態度、あれはなんだ
なんどなんでん、そりゃあ無理じゃわ,いくら何でも、それは無理だわ
傘持っち行けち言うたにい、持っちいかんじ、ずぶ濡れや,傘持って行けって言ったのに、持って行かないで、ずぶ濡れだ
隣の娘が成人式で、振袖がにおうちょる,隣の娘が成人式で、振袖が似合っている
鬼が来たぞ、急いでにぎい,鬼が来たぞ、急いで逃げろ
なんぼにくせえちゅうてん、わが子じゃねえか,いくら憎らしいといっても、わが子じゃないか
昔から、良薬は口ににげえち、言うなあ,昔から良薬は口に苦いって、言うなあ
飲んで帰った翌朝は女房に、のごじゅうじゃ,飲んで帰った翌朝は女房に、降伏だ
冷房の効きすぎで、頭がにしにしする,冷房の効きすぎで、頭がズキズキする
にしょっこうと電池を使って、理科の実験だ,豆電球と電池を使って、理科の実験だ
にびいなあ、気づかんのかえ？あんしはあんたが好きなんで,鈍いなあ、気づかないのかい？あの人はあんたが好きあんだよ
嫁さんぬもらう,嫁さんを貰う
缶ぬ開くる,缶を開ける
ペンぬ執る,ペンを執る
忘年会でしこたまぬうじ、今朝は体がだるい,忘年会でしこたま飲んで、今朝は体がだるい
新幹線は、景色はいいが、ぬきが多かった,新幹線は、景色がいいが、トンネルが多かった
ぬきい部屋じ、テレビをみよう,温い部屋で、テレビを見よう
急いで服を着たら、ぬしとえりになっちょった,急いで服を着たら、折れていない襟になっていた
酒の席では、ぬれのふりをするのも大切なことかもしれん,酒の席では、間抜けのふりをするのも大切なことかもしれない
うちん犬はとうちゃんから飯もろうちょって、ぬれっと母ちゃんからも貰った,うちの犬は父ちゃんから飯を貰っていて、しれっと母ちゃんからも貰った
父ちゃんが、ねえこちわたしの料理をほめた,父ちゃんが、いつになく私の料理をほめた
彼女が俺を好いちょるなんか、ねえちゃ,彼女が俺を好いているなんか、ないって
日照りが続くと、貯水池の水がねえなる,日照りが続くと、貯水池の水がなくなる
隣のねえねえは、近ごろ美しゅうなった,隣のお姉さんは、近ごろ美しくなった
指輪を無くして、ねえもんさがしの毎日です,指輪を無くして、ないもの探しの毎日です
木のねきにある花に水をやっちくりい,木のそばにある花に水をやってくれ
ねき餌やったかえ？さっきから鳴きよるが,ネコに餌をやったかい？さっきから鳴いてるけど
父ちゃんは、風邪をひいてねくうじょる,父ちゃんは、風邪をひいて寝込んでいる
今更なあにねくじ言いよるんか、もう決まったこつぞ,今更なに寝ぼけた文句を言っているのか、もう決まったことだぞ
妹はわしと違って、ねじがいっちょる,妹はわしと違って、しっかりしている
うちの子は何でも手に入れるまで、ねじきい,うちの子は何でも手に入れるまで、ねちっこい
ねたがわすと首が回らんごとなって、せちいで,寝違えると首が回らなくなって、つらいよ
ねちい性格の奴だけが、最後まで残った,ねちっこい性格の奴だけが、最後まで残った
いつまでんしゃべっちょらんで、もうねない,いつまでもしゃべってないで、もう寝なさい
テレビの前で寝てしもうた、ベッドでねなおるか,テレビの前で寝てしまった、ベッドで寝なおすか
釣り糸をほどくのは、ねねしい人が向いちょる,釣り糸をほどくのは、粘り強い人が向いている
国会中継を見よると、だいたいねぶりかぶる,国会中継を見ていると、だいたい眠り込んでしまう
あんしは、ねぶりつくるのがうまい,あの人は人に取り入るのがうまい
母ちゃんがねらむと、わしはすくむ,母ちゃんが睨むと、わしはすくむ
親に説教するとは、ねんごくせえ,親に説教するとは、生意気だ
あんしは、議員をのいちから人間がまるうなった,あの人は、議員を退いてから人間が丸くなった
電気代もガソリン代も上がって、のうがわりい,電気代もガソリン代も上がって、頭が痛い
酒好きに一升瓶ごと渡したが、のうじがねえ,酒好きに一升瓶ごと渡したけど、長持ちしない
花冷えの次は、のうしろがんじゃ,花冷えの次は、寒の戻りだ
イネは、のうとこで育ててから田に植える,イネは、苗床で育ててから田に植える
ボールペンは、なぜかいつも、のうならかす,ボールペンはなぜかいつも、無くす
友達がのうなると寂しかろうが、元気出しち,友達が亡くなると寂しいだろうけど、元気出して
のうよい、俺と一緒に母ちゃんに謝っちくれんかやあ,なあおい、俺と一緒に母ちゃんに謝ってくれんかなあ
試合には負けたが、涙をのごうちまた練習開始だ,試合には負けたが、涙をぬぐってまた練習開始だ
こんしと結婚するごと、のさっちょったんじゃわあ,この人と結婚するように、運命づけられてたんだわ
孫も口さかしゅうなって、じじばばじゃのさんで,孫も口さかしくなって、じじばばじゃ手に負えないよ
今晩は母親の手料理で、のしとする,今晩は母親の手料理で、満腹になる
長距離走で、のっきから飛ばしたけん疲れた,長距離走で、のっけから飛ばしたから疲れた
のったりそったりせんで、はようご飯食べよ,だらしなく過ごさないで、早くご飯食べて
そろそろ、ののこが恋しい季節になった,そろそろ、綿入れが恋しい季節になった
態度はのふどうでも、心根は優しい,態度は無作法でも、心根は優しい
今晩は近くの居酒屋で、のみかたじゃ,今晩は近くの居酒屋で、酒宴だ
お前とは中学校からの付き合いじゃ、のや,お前とは中学校からの付き合いだ、そうだよな
兄ちゃんは、去年からだいぶん背がのんだ,兄ちゃんは、去年からだいぶ背が伸びた
うちん父ちゃんな、花見の時期になると、のんぼりくんだりして落ち着かん,うちの父ちゃんは、花見の時期になると、行ったり来たりして落ち着かない
昔も今も、子を守るときのはあじょは強い,今も昔も、子を守るときの母親は強い
はい起きち、はい食べな、会社に遅るで,早く起きて、早く食べな、会社に遅れるよ
大型台風ばい、出歩いちゃいかんばい,大型台風だぞ、出歩いちゃいかんよ
風呂の水をはえるのは、子どもの担当じゃ,風呂の水を排水するのは、子どもの担当だ
冬に備えて薪を割り、軒下にはえる,冬に備えて薪を割り、軒下に積む
期待しちょった選手がこけると、はがいいで,期待してた選手がこけると、はがゆいよ
ばく言いよると、また嫁に逃げらるるぞ,ばか言ってると、また嫁に逃げられるぞ
選挙が終わったらあいさつせん、ばけしちょる,選挙が終わったらあいさつしない、ばかにしている
あんしは、ばけつんがにじゃ,あの人は、うるさい人だ
大けなタイを釣り落として、はげらしい,大きなタイを釣り落として、悔しい
今度のテストは、ばされえいい点じゃった,今度のテストは、すごくいい点だった
一見、はじかいんのごたる性格じゃけど、根はやさしいんで,一見、狂犬のような性格だけど、根はやさしいんよ
稲刈りを手伝ったら、背中が、はじけえ,稲刈りを手伝ったら、背中が、かゆい
あんしはなんで、はたかっち歩くんじゃろ,あの人はなんで、手足を広げて歩くんだろう
正月早々試験があって、ばたぐるうた,正月早々試験があって、じたばたした
鉄人レースに出たら、ばちくりあがった,鉄人レースに出たら、疲労困憊した
アルミ缶は、ばちくりあわすと後の始末が簡単で,アルミ缶は、叩き潰すと青の始末が簡単だ
環境破壊をやめんと、人はばちゅうかぶるで,環境破壊をやめないと、人は罰が当たるよ
風邪を引いたせいか、頭がはちわるるごと痛い,風邪を引いたせいか、頭が割れるように痛い
ぱっちんで戦国武将の名前を覚えた,めんこで戦国武将の名前を覚えた
口の周りに、はってえんこがちいちょるで,口の周りに、はったいの粉がついているよ
ばあちゃんが作ったぽっぽじゃ、まだあちいで,ばあちゃんが作った蒸し饅頭だ、まだあついよ
うちの母ちゃんは、飲んじ帰っただけじ父ちゃんをはつる,うちの母ちゃんは、飲んで帰っただけで父ちゃんをはたく
がけのはなとから見たら、緑の谷が広がっちょった,がけの端から見たら、緑の谷が広がっていた
気候のせいか、はなんすが乾いて息がしにきい,気候のせいか、鼻の穴が乾いて息がしにくい
かかの誕生日じゃけん、はのうこうち帰ろうっと,母の誕生日だから、花を買って帰ろうっと
台風一過、今朝の太陽は、ばばいい,台風一過、今朝の太陽は、まばゆい
あんしに頼んでも、物事はなあんもはばけんで,あの人に頼んでも、物事は何もさばけないよ
あんしは運動会になると、はばしい,あの人は運動会になると、激しい
あんしと付き合うには、ばばをあくるがいいで,あの人と付き合うには、距離を置くのがいいよ
隣のおいさんは、たまに、たぶたかやす,隣のおいさんは、たまに、激怒する
何事も、はまっちすることでいい結果が出る,何事も、ハマって行うことでいい結果が出る
稲刈りではりこむ,稲刈りで精を出す
お客さんの来る前に玄関をはわいちょいて,お客さんが来る前に玄関を掃いてて
明日のばんげ、寄合があるで,明日の晩方、寄合があるよ
けんかのあと仲直りはしたが、はんごがわりい,けんかのあと仲直りはしたけど、ばつが悪い
学校から帰って飲む、はんどの水はうまかった,学校から帰って飲む、水がめの水はうまかった
わしとこの家には、びいが二人じゃ,わしとこの家には、女の子が二人だ
子どもの頃、びいろんとたこ揚げの名人じゃった,子どもの頃、ビー玉とたこ揚げの名人だった
曲がり角から急に車が出てきたので、ひえた,曲がり角から急に車が出てきたので、びっくりした
ひかりをやろうえ,飲食会をやろうよ
父ちゃんは酔うち帰っち、びきんごたる格好で母ちゃんに謝った,父ちゃんは酔って帰って、カエルのような格好で謝った
あんしは腰がひきいけん、悪うは言われん,あの人は腰が低いから、悪くは言えない
ひきつりひっぱりに助けられることもあれば、足を引っ張られることもある,人間関係に助けられることもあれば、足を引っ張られることもある
ひくりを止めるには、急に驚かすといいち,しゃっくりを止めるには、急に驚かすといいって
結婚式で、ウェディングドレスをひこじる,結婚式で、ウェディングドレスを引きずる
草刈りしよったら虫に刺されてひじい目におうた,草刈りしてたら虫に刺されて酷い目にあった
ひそう会ってなかったが、元気にしちょったな,久しく会ってなかったけど、元気にしていたな
今日は生活習慣病検診で朝飯を抜いたけん、ひだりい,今日は生活習慣病検診で朝飯を抜いたから、ひもじい
こん夏ミカンはどこで取れたんな、びっすいい,この夏ミカンはどこでとれたんだ、酸っぱい
食べ終わった皿を何日も洗わんとは、びったれじゃ,食べ終わった皿を何日も洗わないとは、だらしがない
昼は、びっちょを食べようと思うちょる,昼は、うどんを食べようと思ってる
運動会では、ひっぺぎ敷いて場所取りじゃ,運動会では、ござ敷いて場所取りだ
昼食後、ひとかたうつと体調がいい,昼食後、一眠りすると体調がいい
久しぶりの里帰りじゃ、ひとよさ泊まりよ,久しぶりの里帰りじゃ、一晩泊まりなよ
黄色い線の内側までひどってください,黄色い線の内側まで下がってください
違法操業する漁船は、ひねくりあぎい,違法操業する漁船は、ひねりあげろ
炭火でひばかしたアユは味が濃くなって、特にうまいなあ,炭火で焼いたアユは味が濃くなって、特にうまいなあ
孫をびびんこして歩く,孫を肩車して歩く
雨が降らんで、ため池がひやがると農家が困る,雨が降らなくて、ため池が干上がると農家が困る
宴会の幹事は、ひゅうがさんにょうぐらいが丁度いい,宴会の幹事は、大まかな計算くらいが丁度いい
わしゃ、ひゆうとりに出ち頑張っちょるんで,わしゃ、日銭稼ぎに出て頑張ってるんだ
うちの家系には、ひょうげもんが多い,うちの家系には、おどけ者が多い
消費税をひょくっと上げるけんなあ、ショックが大きいわ,消費税を突然に上げるからなあ、ショックが大きいわ
そらまたひょくなことで、ご心配でしょう,それはまた突然のことで、ご心配でしょう
ガスや電気のコンロには、ひよこしは要らん,ガスや電気のコンロには、火おこしは要らない
若いもんがみんなびんすというわけではない,若い者がみんなひ弱というわけではない
ひらくちで言うちくるると、分かりやすいじゃがのう,かしこまらずに言ってくれると、分かりやすいんだけどなあ
沖に出てから見ると、宇佐平野はひらくてえ,沖に出てから見ると、宇佐平野は平たい
父ちゃんは都合が悪いと、すぐひらくとなる,父ちゃんは都合が悪いと、すぐ開き直る
昨日歩きすぎて、ひるめしぶくろが痛い,昨日歩きすぎて、ふくらはぎが痛い
うちの子は部活から帰ると、ひろつく,うちの子は部活から帰ると、空腹で落ち着かない
あんしは金持ちじゃあに、いっつもひろひろしちょる,あの人は金持ちなのに、いつも物欲しそうにしている
春は祝い事が多くて、家計がひわるる,春は祝い事が多くて、家計が干割れる
節電もいいが暗くて見えん、ひをつきい,節電もいいけど暗くて見えない、明かりをつけろ
日の当たる縁側で、ひんがないちにち本を読む,日の当たる縁側で、日がな一日本を読む
車に傷がついたまま走るのは、ひんがわりい,車に傷がついたまま走るのは、品格が悪い
水なしで、錠剤をひんのむ,水なしで、錠剤を勢いよく飲む
あんた、びんぼうぶるいの癖はやめちょくれ,あんた、貧乏ゆすりの癖はやめてくれ
昨日までの大雨が上がって、ふがよかった,昨日までの大雨が上がって、運がよかった
最近は空き缶をふいつる人が減ったでなあ,先んは空き缶を捨てる人が減ったよなあ
テストの点が悪くて、母ちゃんはふうが悪い,テストの点が悪くて、母ちゃんの風体が悪い
農地は手を入れないと、すぐにぶうすろんごとなる,農地は手を入れないと、すぐにやぶのようになる
わくどの歩き方は、ふうたらぬりい,悪童の歩き方は、遅い
話しながら握り飯をふうばるのは品がない,話しながら握り飯をほおばるのは品がない
隣は、ふうふづりいカラオケ教室に通いよる,隣は、夫婦ともにカラオケ教室に通っている
冷蔵庫のない昔は、ぶえんもんは貴重じゃった,冷蔵庫のない昔は、生の魚は貴重だった
キャンプの炊事当番で、ふきたてに苦労した,キャンプの炊事当番で、焚きつけに苦労した
ニワトリが卵を温めるときは、ふくだむ,ニワトリが卵を温めるときは、はらばう
食べ過ぎてふくましいから、夜は抜いた,食べ過ぎておなかが重いから、夜は抜いた
ふげとれじゃけん、大抵のもんは食うで,食いしん坊だから、大抵のものは食べるよ
飲み会で毎晩遅いち、妻がぶすけえちょる,飲み会で毎晩遅いと、妻がふくれっ面をしている
あんたはここでふすぼるような人やないで,あんたはここでくすぶるような人ではないよ
うちん父ちゃんは、ふせくりのじょう言う,うちの父ちゃんは、不平ばかり言う
うちんばあちゃんは、ふつ餅が大好きじゃ,うちのばあちゃんは、ヨモギ餅が大好きだ
そげなふてえこつ言いよって、大丈夫かえ？,そんな大きなことを言って、大丈夫かい？
夕方はブトが多いけん、刺されんごとせな,夕方はブユが多いから、刺されないようにしないと
雨が降っち三日みらん間にスイカがふとっちょる,雨が降って三日見ない間にスイカが成長している
父ちゃんは、母ちゃんの一言で、ふにゃっとなる,父ちゃんは、母ちゃんの一言で、しょげる
乾かした洗濯物をふみたくじって歩くなえ,乾かした洗濯物をふみにじって歩くなよ
釣り船に渡る板が、ぶよんぶよんしちょる,釣り船に渡る板が、ぶよぶよしている
日本の外交姿勢はどうも、ふらふうけで,日本の外交姿勢はどうも、ふらふらしている
寒い晩は寝る前に、ふりいへえるんじゃ,寒い晩は寝る前に、風呂に入るんだ
わしゃ、あんしがふるふる好かんのじゃわ,わしは、あの人が甚だしく好かないんだ
あんたはまあ、こげなへえがら年賀状書くかえ？,あんたはまあ、こんな早くから年賀状書くかい？
梅雨が明けたら屋根の瓦をへえじ、新しくする,梅雨が明けたら屋根の瓦をはいで、新しくする
そげな、へがもうたような話をするな,そんな、つまらない話をするな
へこかえじゃ,親友だ
そっちべたはぬかるんじょるけん、こっちべた歩きよ,そっち側はぬかるんでいるから、こっち側を歩きよ
磯に小さな巻貝がべたべったりじゃ,磯に小さな巻貝がべったりだ
あんしの話はいつもへたらなげえ,あの人の話はいつもいたずらに長い
広い畑でゴボウ掘りすると、へたれる,広い畑でゴボウ掘りすると、疲れる
高速道路をへち行くと大事故につながる,高速道路を反対方向に行くと大事故につながる
子どもから説教さるるとは、へっちこっちじゃ,子どもから説教されるとは、あべこべだ
急な大雨で、傘がなくて、べっちゅう目に遭った,急な大雨で、傘がなくて、酷い目に遭った
いたずらメールには、へつらわんことじゃ,いたずらメールには、へつらわないことだ
朝のゴミ出しぐらいなら、へでんね,朝のゴミ出しぐらいならへでもない
若いころ、へのじゅうじゃったが学者になった,若いころ、変人だった人が学者になった
あんしの話は、へのつっぱりにもならん,あの人の話は、何の役にも立たない
この辺りには、へべが多いから注意しちょくれ,この辺りには、ヒビが多いから注意しておいてくれ
高速道路は、へもどられんので,高速道路は、戻られないよ
あんしが、へもへちくれんこつ言うんで、会議が長うなった,あの人が、つまらないこと言うから、会議が長くなった
以前は大連立の誘いに、へもへりかけんかった,以前は大連立の誘いに、取り合わなかった
へよ,嫌なこった
釣りに行くなら、へらのおいさんにも声かきい,釣りに行くなら、へりのおいさんにも声をかけろ
あんしの意見は、しょっちゅうべらぐりがやる,あの人の意見は、しょっちゅうひっくり返る
今年は、へらへえと経済が回復することを祈る,今年は、段々と経済が回復することを祈る
こげえべら負けすると、かえって気持ちがいい,こんなにぼろ負けすると、帰って気持ちがいい
大政党の幹部が市長に、べらやぐ,大政党の幹部が市長に、お世辞を言う
適当にへらをうつと、後で話が合わなくなるで,適当に話を合わせると、後で話が合わなくなるよ
そげな無理を聞かるるか、へをかめ,そんな無理を聞けるか、嫌なこった
ほいたら、あの話しはどうなったんかえ？,それなら、あの話はどうなったのかい？
夕飯食うち、ほいちから風呂じゃ,夕飯食べて、それから風呂だ
うちん子は勉強もせんでゲームにぼうぜちょる,うちの子は勉強もしないでゲームに熱中する
この魚は、ほうたれち,この魚は、カタクチイワシだって
じいちゃんは、選挙の投票だけはほうちでんいくんと,じいちゃんは、選挙の投票だけは、這ってでも行くんだって
あんしは、いっつもほうやく言うんあ,あの人は、いつもいい加減な話を言うんだ
ほうよのう,そうだよなあ
通学途中に、高いほきがある,通学途中に、高い崖がある
川にホタルを増やす作戦が、去年はぼくした,川にホタルを増やす作戦が、去年は失敗した
別府の駅前じ、母ちゃんにぼくとおうた,別府の駅前で、母ちゃんに突然あった
あんしはイノシシをぼくとぎれで追い払った,あの人はいのししを棒切れで追い払った
散歩から帰った犬から、ほけが立っちょる,散歩から帰った犬から、湯気が立っている
父ちゃんがほげほっぽするけん、母ちゃんがほっけちょんのじゃろうなあ,父ちゃんがむちゃくちゃするから、母ちゃんが呆れてるのだろうなあ
隣町に通じるトンネルが、もうすぐほげるで,隣町に通じるトンネルが、もうする通るよ
旅行の土産はカバンにぼしこんで宅配便で送る,旅行の土産はカバンに押し込んで宅配便で送る
約束は、ほたぐりかやすもんじゃねえで,約束は、放っておくものじゃないよ
タバコをほたるのはマナー以前の問題で,タバコを放り捨てるのはマナー以前の問題だ
株を始めたが、ほたを拾うのはそうそうあることじゃねえな,株を始めたが、大物を拾うのはそうそうあることじゃねえな
消費税の増税で、ほところは一層寂しくなる,消費税の増税で、懐は一層寂しくなる
パンプキンスープちゃ、材料はぼぶらでなあ,パンプキンスープって材料はかぼちゃだよな
見合いしたけど、あまりほめかん,見合いしたけど、あまり乗り気にならない
うちがたんほやは、LEDじゃ,うちの家の電球は、LEDだ
ほら見よ、ほらきおちたろうが,ほら見よ、転がり落ちたろうが
リレーのアンカーでほらけたが、恥ずかしかったでえ,リレーのアンカーで転んだが、恥ずかしかったよ
こんバケツは、水がぼるがのう,このバケツは、水が漏れるよなあ
夕飯の後に、ほろせが出たから病院に行っちくる,夕飯の後に、発疹が出たから病院に行ってくる
針の穴がほん小せえけん、糸が通らん,針の穴が本当に小さいから、糸が通らない
普段はそげでんねえに、ほんこのときだけ強いしがおるなえ,普段はそんなにないのに、本番の時だけ強い人がいるなあ
あのばあちゃんは、歳をとってもほんぼじゃ,あのばあちゃんは、歳をとってもかわいいな
右肩上がりの好景気に、まあいっぺんなりてえ,右肩上がりの好景気に、今一度なりたい
まいかけ姿でクリスマスケーキを焼く,まえかけ姿でクリスマスケーキを焼く
うちん子は、まえかどから修学旅行に行った,うちの子は、昨日から修学旅行に行った
予算は、ただまくばるのがいいとは限らん,予算は、ただ分配するのがいいとは限らない
昔、農作業には近所同士で、まくりがあった,昔、農作業には近所同士で、加勢があった
